LHipAngles,LKneeAngles,LAbsAnkleAngle,LAnkleAngles,RHipAngles,RKneeAngles,RAnkleAngles,RAbsAnkleAngle,LPelvisAngles,RPelvisAngles,LFootProgressAngles,RFootProgressAngles,          ,         ,LHipPower,   ,           ,LKneePower,   ,            ,LAnklePower,   ,            ,RHipPower,   ,           ,RKneePower,   ,            ,RAnklePower,   ,            ,LAnkleForce,            ,            ,RAnkleForce,           ,           ,RKneeForce,          ,       ,LKneeForce,           ,       ,RHipForce,        ,      ,LHipForce,       ,      ,LAnkleMoment,           ,          ,RAnkleMoment,           ,          ,RKneeMoment,        ,           ,LKneeMoment,        ,         ,RHipMoment,        ,        ,LHipMoment,        ,
-14.6209,-5.51,6.4149,8.3737,-5.4232,16.5315,17.5899,12.6476,-0.026468,-0.026468,-89.7283,-87.8798,-8.2498,-0.46566,0,0,-0.015361,0,0,-0.00054795,0,0,-0.00065211,0,0,0.0077761,0,0,-0.0010686,0,0,0.00044979,-0.14212,-0.0075921,-0.0012177,-0.1407,-0.020367,-0.0058568,-0.058497,-0.16325,0.57208,-0.032474,0.070195,0.59401,0.18805,-0.53361,1.4713,-0.29584,0.61105,1.4253,-18.3733,1.8518E-15,-0.90644,-18.3272,1.1097E-15,2.6493,-1.8884,30.5763,2.3285,4.3066,6.091,0.98128,-51.0205,199.5803,-6.9444,92.7095,202.0065,2.0232
-14.4968,-5.4012,6.3737,8.3142,-5.4102,16.5192,17.5845,12.6633,0.010572,0.010572,-89.7078,-87.9299,-8.2858,-0.45254,0,0,-0.016748,0,0,-0.00061094,0,0,-0.00058995,0,0,0.0073358,0,0,-0.0011068,0,0,0.00041098,-0.14205,-0.0076669,-0.0013208,-0.14082,-0.020359,-0.0055247,-0.058557,-0.16148,0.57377,-0.032684,0.070749,0.59344,0.19002,-0.53009,1.4743,-0.2929,0.61316,1.4239,-18.3701,1.9328E-16,-0.93003,-18.2866,-2.0935E-15,2.667,-1.8477,30.3494,2.3427,4.323,6.0976,0.96631,-51.5871,198.1039,-6.8615,91.9814,202.8065,2.0129
-14.3666,-5.2866,6.3338,8.2516,-5.3867,16.4973,17.5735,12.6751,0.056209,0.056209,-89.6864,-87.9812,-8.3245,-0.4407,0,0,-0.017712,0,0,-0.00066015,0,0,-0.0005407,0,0,0.0065946,0,0,-0.001023,0,0,0.00032488,-0.14198,-0.0077069,-0.0014028,-0.14092,-0.020404,-0.0050619,-0.057805,-0.15975,0.57561,-0.033061,0.071275,0.59281,0.19364,-0.52723,1.477,-0.29016,0.61477,1.4226,-18.3761,5.4724E-16,-0.95227,-18.2388,-1.064E-16,2.6782,-1.629,30.0956,2.3521,4.3767,6.1063,0.95088,-53.012,196.8784,-6.7626,91.3601,203.5268,2.0144
-14.2345,-5.1729,6.2948,8.1858,-5.351,16.467,17.5557,12.6805,0.10965,0.10965,-89.6648,-88.0306,-8.3648,-0.43094,0,0,-0.018148,0,0,-0.00069091,0,0,-0.00050209,0,0,0.0056149,0,0,-0.00081885,0,0,0.00018131,-0.14194,-0.0077237,-0.0014547,-0.14098,-0.020511,-0.0045101,-0.056194,-0.1583,0.57725,-0.033528,0.071617,0.5922,0.19873,-0.52546,1.4789,-0.28753,0.61571,1.4216,-18.3926,-1.9066E-15,-0.9719,-18.189,9.7447E-16,2.679,-1.2184,29.8549,2.3532,4.4613,6.0993,0.93673,-55.2198,196.1355,-6.662,90.7471,204.0637,2.0281
-14.1049,-5.0668,6.2565,8.1175,-5.3011,16.43,17.5309,12.6772,0.16991,0.16991,-89.6442,-88.0751,-8.4052,-0.42306,0,0,-0.018007,0,0,-0.00069894,0,0,-0.00046825,0,0,0.0044685,0,0,-0.00051023,0,0,-0.000023687,-0.14192,-0.0077317,-0.0014737,-0.14098,-0.020673,-0.0039398,-0.053871,-0.15734,0.57855,-0.033957,0.071631,0.59167,0.20479,-0.52492,1.4795,-0.28477,0.6158,1.421,-18.4164,-8.217E-16,-0.98899,-18.1407,1.3549E-15,2.6694,-0.66053,29.6705,2.3468,4.5707,6.0605,0.92384,-57.9543,195.9876,-6.5739,90.0047,204.3095,2.0533
-13.9815,-4.9748,6.2192,8.0483,-5.2358,16.3878,17.5003,12.6629,0.23595,0.23595,-89.6259,-88.1121,-8.444,-0.41577,0,0,-0.017317,0,0,-0.0006786,0,0,-0.00043281,0,0,0.0032244,0,0,-0.00012611,0,0,-0.00028563,-0.14191,-0.0077583,-0.0014606,-0.14094,-0.020869,-0.0034497,-0.05114,-0.15698,0.57936,-0.034334,0.071229,0.59123,0.21134,-0.52565,1.4791,-0.28196,0.61502,1.421,-18.4409,6.5325E-16,-1.0064,-18.0978,1.6437E-15,2.6572,-0.054294,29.5714,2.3406,4.6752,5.9766,0.90901,-60.8774,196.444,-6.5041,89.1425,204.1988,2.078
-13.8678,-4.9019,6.1837,7.9797,-5.1543,16.3426,17.4658,12.6363,0.30663,0.30663,-89.6115,-88.1394,-8.4796,-0.40732,0,0,-0.016164,0,0,-0.00062838,0,0,-0.00039191,0,0,0.0019449,0,0,0.00029401,0,0,-0.00059233,-0.14189,-0.0078269,-0.0014305,-0.14088,-0.021056,-0.0031229,-0.048381,-0.15716,0.57966,-0.034667,0.070406,0.59096,0.2177,-0.52725,1.4777,-0.27917,0.61345,1.4216,-18.4578,1.4135E-15,-1.0273,-18.062,1.1968E-15,2.6499,0.48468,29.5544,2.3423,4.7447,5.8456,0.8885,-63.6058,197.3189,-6.4502,88.2225,203.7235,2.0894
-13.766,-4.8515,6.1506,7.9135,-5.0566,16.2962,17.4292,12.5964,0.38088,0.38088,-89.6019,-88.1556,-8.51,-0.39627,0,0,-0.014661,0,0,-0.00055384,0,0,-0.0003447,0,0,0.00069594,0,0,0.00070919,0,0,-0.00092813,-0.14187,-0.007944,-0.0013853,-0.1408,-0.021219,-0.0029643,-0.045758,-0.15775,0.57961,-0.034977,0.069216,0.59087,0.22372,-0.52943,1.4757,-0.27662,0.61124,1.4227,-18.4644,-1.4741E-15,-1.0521,-18.0345,-1.1818E-15,2.6535,0.92463,29.6052,2.3579,4.7674,5.6701,0.86162,-66.0278,198.434,-6.405,87.3452,202.9218,2.0828
-13.6781,-4.8253,6.1206,7.851,-4.9434,16.2505,17.3922,12.5429,0.45765,0.45765,-89.5975,-88.1596,-8.5333,-0.3819,0,0,-0.012928,0,0,-0.00046353,0,0,-0.00029184,0,0,-0.00048871,0,0,0.0010846,0,0,-0.0012753,-0.14186,-0.0081146,-0.001339,-0.14073,-0.021345,-0.0029899,-0.043432,-0.1586,0.57925,-0.035367,0.06772,0.59103,0.22905,-0.53165,1.4733,-0.27463,0.60853,1.4245,-18.462,-5.3041E-17,-1.0803,-18.018,1.3835E-15,2.6676,1.2484,29.7187,2.3872,4.7229,5.4512,0.82914,-68.0122,199.5614,-6.3692,86.6723,201.8217,2.0521
-13.6046,-4.8232,6.0942,7.793,-4.8159,16.2071,17.3552,12.476,0.53607,0.53607,-89.5985,-88.151,-8.5476,-0.36417,0,0,-0.011096,0,0,-0.0003677,0,0,-0.00023521,0,0,-0.0015678,0,0,0.0013961,0,0,-0.0016125,-0.14185,-0.0083379,-0.0012882,-0.14068,-0.021425,-0.0031892,-0.041493,-0.15957,0.57869,-0.035852,0.06595,0.59137,0.23362,-0.53356,1.4711,-0.27318,0.60546,1.4266,-18.4506,9.4902E-16,-1.1108,-18.0153,1.6288E-15,2.6902,1.4598,29.8837,2.428,4.6143,5.1818,0.79222,-69.5433,200.531,-6.3423,86.2351,200.441,1.9996
-13.5458,-4.8441,6.0716,7.7398,-4.676,16.167,17.3184,12.397,0.61533,0.61533,-89.6042,-88.1301,-8.5519,-0.34369,0,0,-0.0092914,0,0,-0.00027618,0,0,-0.00017959,0,0,-0.0025135,0,0,0.0016308,0,0,-0.0019155,-0.14185,-0.0086139,-0.0012437,-0.14063,-0.021454,-0.0035397,-0.039923,-0.16051,0.57792,-0.036502,0.064011,0.59193,0.23741,-0.53494,1.4689,-0.27258,0.60216,1.429,-18.4287,-1.0796E-15,-1.1431,-18.0281,-1.8741E-15,2.7188,1.5809,30.079,2.478,4.4281,4.87,0.75106,-70.6735,201.2303,-6.3201,86.1545,198.8527,1.9203
-13.5011,-4.8857,6.0526,7.6906,-4.5256,16.1309,17.2818,12.3078,0.6949,0.6949,-89.6136,-88.098,-8.5462,-0.32154,0,0,-0.0076008,0,0,-0.00019728,0,0,-0.00013176,0,0,-0.0032853,0,0,0.0017838,0,0,-0.00216,-0.14185,-0.0089205,-0.0011889,-0.14059,-0.021426,-0.0039851,-0.038626,-0.16134,0.57708,-0.037195,0.061987,0.59261,0.24072,-0.53569,1.4671,-0.27248,0.59899,1.4316,-18.397,2.1485E-15,-1.1747,-18.0562,-3.1888E-16,2.7493,1.653,30.272,2.5329,4.1999,4.5228,0.70828,-71.5683,201.6031,-6.296,86.2958,197.1969,1.8275
-13.4695,-4.9446,6.0362,7.6441,-4.3673,16.0992,17.2455,12.2113,0.77423,0.77423,-89.6251,-88.0565,-8.5317,-0.29921,0,0,-0.0061062,0,0,-0.00013598,0,0,-0.000098998,0,0,-0.0038701,0,0,0.0018544,0,0,-0.0023255,-0.14184,-0.0092448,-0.0011319,-0.14054,-0.021342,-0.0044854,-0.037636,-0.16198,0.57608,-0.037939,0.059937,0.59339,0.24324,-0.53577,1.4653,-0.27301,0.59595,1.4342,-18.3565,-6.5279E-16,-1.2051,-18.0963,1.571E-16,2.777,1.6907,30.4382,2.5876,3.9344,4.1537,0.66456,-72.1711,201.6353,-6.2674,86.6705,195.5066,1.7225
-13.4492,-5.017,6.0214,7.5986,-4.2033,16.0718,17.2096,12.111,0.85311,0.85311,-89.6365,-88.0084,-8.5107,-0.27831,0,0,-0.004876,0,0,-0.000093973,0,0,-0.000086144,0,0,-0.0042361,0,0,0.0018467,0,0,-0.0023993,-0.14182,-0.0095638,-0.0010786,-0.14049,-0.021211,-0.0049784,-0.036825,-0.16247,0.57508,-0.03867,0.057906,0.59418,0.24529,-0.53539,1.4639,-0.27385,0.59318,1.4367,-18.3108,2.1146E-16,-1.2334,-18.1441,9.5897E-16,2.7974,1.7427,30.5677,2.6371,3.6545,3.7847,0.62125,-72.647,201.4273,-6.2346,87.1543,193.8511,1.6129
-13.4385,-5.0988,6.0068,7.5522,-4.0362,16.0482,17.1744,12.0106,0.93127,0.93127,-89.6458,-87.9566,-8.4864,-0.26034,0,0,-0.0039813,0,0,-0.000069294,0,0,-0.000093803,0,0,-0.0043424,0,0,0.0017677,0,0,-0.0023782,-0.14179,-0.0098565,-0.0010293,-0.14046,-0.021046,-0.005422,-0.036121,-0.16277,0.57404,-0.039315,0.055916,0.59495,0.24681,-0.53456,1.4625,-0.27484,0.59067,1.439,-18.2659,1.0559E-15,-1.2592,-18.1969,-1.5983E-15,2.805,1.8366,30.6456,2.6752,3.3856,3.4315,0.57958,-73.0468,201.0081,-6.1984,87.6403,192.2643,1.5071
-13.4349,-5.1855,5.9911,7.5031,-3.8688,16.0274,17.1403,11.9134,1.0086,1.0086,-89.6506,-87.9041,-8.4627,-0.24637,0,0,-0.0034735,0,0,-0.000060268,0,0,-0.00011694,0,0,-0.004172,0,0,0.0016318,0,0,-0.0022684,-0.14178,-0.010113,-0.001002,-0.14045,-0.020869,-0.0057789,-0.035402,-0.16297,0.57316,-0.03986,0.054051,0.59565,0.24813,-0.53364,1.4614,-0.27587,0.58851,1.4409,-18.2301,1.8021E-15,-1.2831,-18.2528,1.3153E-15,2.7971,2.0068,30.6889,2.6978,3.134,3.1189,0.54014,-73.5289,200.5397,-6.1659,88.0707,190.8168,1.4068
-13.4357,-5.2722,5.9736,7.4507,-3.7034,16.0084,17.1083,11.8227,1.0852,1.0852,-89.6493,-87.8539,-8.4432,-0.23676,0,0,-0.0033896,0,0,-0.00006252,0,0,-0.00014395,0,0,-0.0037148,0,0,0.0014562,0,0,-0.0020834,-0.14178,-0.010317,-0.00098861,-0.14047,-0.020695,-0.0060375,-0.03465,-0.16305,0.57244,-0.040206,0.052298,0.59626,0.2492,-0.53248,1.4605,-0.27659,0.5868,1.4425,-18.2107,-7.8652E-16,-1.304,-18.3084,-1.3055E-15,2.7718,2.2542,30.7011,2.7023,2.925,2.8485,0.50486,-74.1087,200.0085,-6.1407,88.2804,189.544,1.3218
